title,box_off_num
용서는 없다,2978541.436002665
아빠가 여자를 좋아해,979397.0118883348
하모니,1281827.7516335673
의형제,1682533.8492837753
평행 이론,910019.0183628798
회오리 바람,80841.3535885334
경계도시 2,77489.92688695072
이웃집 남자,70522.58503414999
아마존의 눈물 극장판,28300.271992106842
반가운 살인자,825104.7043610956
집 나온 남자들,544339.9805043906
베스트셀러,1708532.6804387507
작은 연못,1200859.9128697393
경,133366.50065707494
대한민국 1%,1032837.43211961
포화 속으로,1998392.1933936882
나쁜 놈이 더 잘 잔다,44722.67165876418
맨발의 꿈,2189826.839957043
요술,61642.5767932359
마법천자문: 대마왕의 부활을 막아라,241894.57992221852
인플루언스,128927.44058076253
미스터 좀비,236785.60194052715
김복남 살인사건의 전말,881566.7636384679
엄지아빠,152720.73008838866
탈주,169867.15228042332
해결사,1422764.7980814264
할,79636.21307234588
된장,1170332.1769815756
조금만 더 가까이,274135.3560915943
우리 만난 적 있나요,110300.44194920568
쩨쩨한 로맨스,1776933.1647475013
용서,83869.41841950396
브라보! 재즈 라이프,202211.82722614845
카페 느와르,1612521.9414180345
오래된 인력거,73470.61161129567
창피해,388036.88374605885
"양 한 마리, 양 두 마리",83192.07604524925
하얀 정글,65546.24502924671
다슬이,79025.34974308086
REC 알이씨,55524.63565485667
량강도 아이들,109714.85532929069
티끌모아 로맨스,135435.7020515555
더 킥,302539.6958548433
커플즈,679097.6962513415
오늘,311700.452609025
완득이,543221.1653004036
은어,156338.37805926267
고래를 찾는 자전거,48650.24232497971
도가니,2031232.5813226234
겨울냄새,124623.46568579142
환타스틱 모던가야그머,155749.13938071948
블라인드,831729.635335742
링크,234488.19220629142
퀵,1149805.6229898462
모비딕,935734.3234298781
굿바이 보이,573972.2510237824
종로의 기적,342525.724949684
회초리,1152824.9149178083
체포왕,1604260.8304223032
세상에서 가장 아름다운 이별,2895595.636301266
나는 아빠다,597484.1778329837
수상한 고객들,2162172.0389701626
수상한 이웃들,224717.39244866307
돌아오는 길,136435.34263614975
우리 이웃의 범죄,95649.60080351256
엄마는 창녀다,54418.67330992267
위험한 상견례,1472224.0017354316
간증,240996.68925041397
"사랑한다, 사랑하지 않는다",286817.4422014464
"혜화, 동",235176.69228407106
글러브,3769445.5562344687
가문의 귀환,784032.4087755278
잔혹한 앵글의 로망스,77374.44427778429
나의 PS 파트너,1371692.3206276007
롤플레이,257717.10044741296
마티나,70795.49020335665
음치 클리닉,2053284.9940839666
남영동1985,203201.87199124397
돈 크라이 마미,324090.15280617116
반드시 크게 들을 것 2 : Wild Days,73152.51216290261
범죄소년,235176.69228407106
내가 살인범이다,2135896.9436402065
터치,78333.46253077398
늑대소년,2606714.4992922554
맥코리아,81772.21820655628
용의자X,1226919.2053589672
하나안,201537.87787995982
투 올드 힙합 키드,44529.732674525054
한경직,143833.89442476854
미운오리새끼,167312.77161193878
황제펭귄 펭이와 솜이,89905.01267534663
두 개의 문,54140.83028888634
I AM,404667.5784152772
후궁 : 제왕의 첩,2476613.604568976
"안녕, 하세요!",252064.37633148354
천국의 아이들,407228.4705782068
할머니는 일학년,103467.50611184782
두레소리,226838.55262230494
"봄, 눈",218330.1872995128
은교,1142254.7783456033
간기남,1601757.4744024589
시체가 돌아왔다,1389593.4993645027
말하는 건축가,79297.87598518292
밀월도 가는 길,72786.6946799039
파파,458819.7844558755
점박이:한반도의 공룡3D,171992.86282171126
댄싱퀸,3412010.3987144222
누구의 딸도 아닌 해원,33589.106882661676
신세계,3905321.375936595
굿바이 홈런,114178.01038964784
불륜의 시대,46987.321224115585
남쪽으로 튀어,2356443.23362932
좋은 친구들,1333837.8321886463
지슬 - 끝나지 않은 세월 2,226838.55262230494
누구나 제 명에 죽고 싶다,125498.07247475241
사이코메트리,1008824.2043970472
환상속의 그대,319382.0737628885
몽타주,1625428.9395181113
"힘내세요, 병헌씨",153783.6350393838
꼭두각시,290162.2285789062
홀리,58442.46091494905
마이 라띠마,1179774.1299445126
더 테러 라이브,852673.4781360573
슈퍼피쉬 - 끝없는 여정,48896.533973556216
콩가네,398624.47510683583
허풍,142590.81446291922
젊은 엄마,61805.56425414297
노라노,83869.41841950396
